title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
西武国分寺線 鷹の台駅 3階建 築5年,東京都国分寺市北町１,西武国分寺線/鷹の台駅 歩14分,西武国分寺線/恋ヶ窪駅 歩14分,ＪＲ武蔵野線/新小平駅 歩29分,5.0,3.0,2.0,8600.0,4500.0,0.0,8600.0,1.0,42.32,https://suumo.jp/chintai/jnc_000055772997/?bc=100186949130
西武国分寺線 鷹の台駅 3階建 築5年,東京都国分寺市北町１,西武国分寺線/鷹の台駅 歩14分,西武国分寺線/恋ヶ窪駅 歩14分,ＪＲ武蔵野線/新小平駅 歩29分,5.0,3.0,2.0,8700.0,4500.0,0.0,8700.0,1.0,42.32,https://suumo.jp/chintai/jnc_000055389735/?bc=100185316042
サンビューラーＡ,東京都昭島市武蔵野２,西武拝島線/西武立川駅 歩14分,ＪＲ中央線/立川駅 バス28分 (バス停)天王橋 歩8分,ＪＲ青梅線/中神駅 歩30分,26.0,2.0,2.0,6800.0,3000.0,0.0,0.0,3.0,52.17,https://suumo.jp/chintai/jnc_000055772911/?bc=100186968060
エクセレント武蔵野公園B棟,東京都小金井市中町１,ＪＲ中央線/武蔵小金井駅 歩12分,ＪＲ中央線/東小金井駅 歩13分,西武多摩川線/新小金井駅 歩11分,19.0,4.0,4.0,13800.0,0.0,27600.0,0.0,3.0,75.6,https://suumo.jp/chintai/jnc_000055765826/?bc=100160456863
ストーク国立,東京都国立市富士見台２,ＪＲ南武線/谷保駅 歩6分,ＪＲ中央線/国立駅 歩19分,ＪＲ南武線/矢川駅 歩15分,25.0,3.0,2.0,10000.0,3000.0,10000.0,10000.0,3.0,50.9,https://suumo.jp/chintai/jnc_000024439308/?bc=100093971978
メゾン　ド　ヴィラージュ,東京都国分寺市西町２,ＪＲ中央線/国立駅 歩15分,,,4.0,2.0,2.0,13000.0,2000.0,13000.0,13000.0,2.0,65.21,https://suumo.jp/chintai/jnc_000029940721/?bc=100186572838
西武国分寺線 鷹の台駅 2階建 築23年,東京都国分寺市北町４,西武国分寺線/鷹の台駅 歩18分,西武拝島線/東大和市駅 歩29分,西武国分寺線/恋ヶ窪駅 歩28分,23.0,2.0,1.0,7700.0,5000.0,0.0,0.0,3.0,55.21,https://suumo.jp/chintai/jnc_000055772998/?bc=100167239895
西武国分寺線 鷹の台駅 2階建 築23年,東京都国分寺市北町４,西武国分寺線/鷹の台駅 歩18分,西武拝島線/東大和市駅 歩29分,西武国分寺線/恋ヶ窪駅 歩28分,23.0,2.0,1.0,8000.0,5000.0,0.0,0.0,3.0,55.21,https://suumo.jp/chintai/jnc_000051619086/?bc=100167758826
ハイツ和田,東京都昭島市田中町２,ＪＲ青梅線/昭島駅 歩19分,,,14.0,2.0,1.0,7000.0,0.0,7000.0,0.0,3.0,50.0,https://suumo.jp/chintai/jnc_000055684997/?bc=100186918835
ヴェルドミールC,東京都国分寺市戸倉２,ＪＲ中央線/国立駅 歩15分,ＪＲ中央線/西国分寺駅 歩15分,西武国分寺線/恋ヶ窪駅 歩11分,12.0,2.0,2.0,8500.0,3500.0,0.0,8500.0,1.0,36.32,https://suumo.jp/chintai/jnc_000054361699/?bc=100184508640
ＪＲ中央線 国立駅 2階建 築12年,東京都国分寺市戸倉２,ＪＲ中央線/国立駅 歩15分,西武国分寺線/恋ヶ窪駅 歩11分,ＪＲ中央線/西国分寺駅 歩18分,12.0,2.0,2.0,8500.0,3500.0,0.0,8500.0,1.0,36.23,https://suumo.jp/chintai/jnc_000054386079/?bc=100181158492
Ｙ’ｓ東,東京都国分寺市西町２,ＪＲ中央線/国立駅 歩18分,ＪＲ南武線/西国立駅 歩23分,多摩都市モノレール/立飛駅 歩25分,6.0,2.0,1.0,10000.0,3000.0,6000.0,10000.0,2.0,57.21,https://suumo.jp/chintai/jnc_000041450547/?bc=100186894216
ウィット　オザキ,東京都国分寺市東恋ヶ窪３,ＪＲ中央線/国分寺駅 歩15分,ＪＲ中央線/西国分寺駅 歩17分,西武国分寺線/恋ヶ窪駅 歩15分,5.0,2.0,1.0,8700.0,3500.0,0.0,8700.0,1.0,33.24,https://suumo.jp/chintai/jnc_000055600501/?bc=100179481695
ウィット　オザキ,東京都国分寺市東恋ヶ窪３,ＪＲ中央線/国分寺駅 歩15分,ＪＲ中央線/西国分寺駅 歩17分,西武国分寺線/恋ヶ窪駅 歩15分,5.0,2.0,1.0,9000.0,3500.0,0.0,9000.0,1.0,33.24,https://suumo.jp/chintai/jnc_000054087012/?bc=100179409424
ニューパレス,東京都多摩市諏訪１,京王相模原線/京王永山駅 歩10分,京王線/聖蹟桜ヶ丘駅 バス10分 (バス停)消防署前 歩10分,小田急多摩線/はるひ野駅 歩29分,31.0,4.0,3.0,8500.0,4000.0,17000.0,0.0,3.0,57.33,https://suumo.jp/chintai/jnc_000050148166/?bc=100160236288
ニューパレス,東京都多摩市諏訪１,京王相模原線/京王永山駅 歩10分,京王線/聖蹟桜ヶ丘駅 バス10分 (バス停)消防署前 歩10分,小田急多摩線/はるひ野駅 歩29分,31.0,4.0,3.0,8500.0,4000.0,17000.0,0.0,3.0,57.33,https://suumo.jp/chintai/jnc_000045986100/?bc=100186860198
冨士野コーポ,東京都国分寺市本多１,ＪＲ中央線/国分寺駅 歩10分,ＪＲ武蔵野線/西国分寺駅 歩27分,西武国分寺線/恋ヶ窪駅 歩27分,42.0,4.0,4.0,9000.0,0.0,9000.0,9000.0,3.0,54.0,https://suumo.jp/chintai/jnc_000055779936/?bc=100186895108
