title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
Ｐｅｒｓｉｍｏ ～ペルシーモ～,東京都東村山市秋津町２,ＪＲ武蔵野線/新秋津駅 歩14分,西武池袋線/秋津駅 歩18分,西武池袋線/清瀬駅 車9分(3.9km),3.0,2.0,2.0,5300.0,3000.0,5300.0,5300.0,1.0,25.2,https://suumo.jp/chintai/jnc_000025487108/?bc=100187656180
HF田無レジデンス,東京都西東京市田無町６,西武新宿線/田無駅 歩10分,西武新宿線/西武柳沢駅 歩25分,ＪＲ中央線/武蔵境駅 バス15分 (バス停)田無駅 歩8分,31.0,6.0,3.0,13400.0,6000.0,13400.0,0.0,3.0,84.91,https://suumo.jp/chintai/jnc_000055132769/?bc=100175509389
HF田無レジデンス,東京都西東京市田無町６,西武新宿線/田無駅 歩10分,西武新宿線/西武柳沢駅 歩25分,ＪＲ中央線/武蔵境駅 バス15分 (バス停)田無駅 歩8分,31.0,6.0,3.0,13400.0,6000.0,13400.0,0.0,3.0,77.38,https://suumo.jp/chintai/jnc_000055322894/?bc=100187016386
HF田無レジデンス,東京都西東京市田無町６,西武新宿線/田無駅 歩10分,西武新宿線/西武柳沢駅 歩25分,ＪＲ中央線/武蔵境駅 バス15分 (バス停)田無駅 歩8分,31.0,6.0,3.0,13800.0,6000.0,13800.0,0.0,3.0,77.38,https://suumo.jp/chintai/jnc_000055322896/?bc=100187080721
HF田無レジデンス,東京都西東京市田無町６,西武新宿線/田無駅 歩10分,西武新宿線/西武柳沢駅 歩25分,ＪＲ中央線/武蔵境駅 バス15分 (バス停)田無駅 歩8分,31.0,6.0,3.0,13800.0,6000.0,13800.0,0.0,3.0,77.38,https://suumo.jp/chintai/jnc_000055671259/?bc=100187016899
HF田無レジデンス,東京都西東京市田無町６,西武新宿線/田無駅 歩10分,西武新宿線/西武柳沢駅 歩25分,ＪＲ中央線/武蔵境駅 バス15分 (バス停)田無駅 歩8分,31.0,6.0,3.0,14200.0,6000.0,14200.0,0.0,3.0,84.76,https://suumo.jp/chintai/jnc_000055322895/?bc=100187503452
HF田無レジデンス,東京都西東京市田無町６,西武新宿線/田無駅 歩10分,西武新宿線/西武柳沢駅 歩25分,ＪＲ中央線/武蔵境駅 バス15分 (バス停)田無駅 歩8分,31.0,6.0,3.0,14200.0,6000.0,14200.0,0.0,3.0,84.76,https://suumo.jp/chintai/jnc_000055671258/?bc=100187654843
プリムラ,東京都東村山市秋津町４,ＪＲ武蔵野線/新秋津駅 歩11分,西武池袋線/秋津駅 歩15分,西武新宿線/所沢駅 歩22分,10.0,3.0,3.0,5600.0,2000.0,5600.0,5600.0,1.0,25.92,https://suumo.jp/chintai/jnc_000023657842/?bc=100187494572
プリムラ,東京都東村山市秋津町４,ＪＲ武蔵野線/新秋津駅 歩11分,西武池袋線/秋津駅 歩15分,西武新宿線/所沢駅 歩22分,10.0,3.0,3.0,5800.0,2000.0,5800.0,5800.0,1.0,25.92,https://suumo.jp/chintai/jnc_000055608265/?bc=100186414578
ＪＲ武蔵野線 新秋津駅 3階建 築9年,東京都東村山市秋津町４,ＪＲ武蔵野線/新秋津駅 歩11分,西武池袋線/所沢駅 歩20分,西武池袋線/秋津駅 歩15分,9.0,3.0,3.0,5600.0,2000.0,5600.0,5600.0,1.0,25.92,https://suumo.jp/chintai/jnc_000023642882/?bc=100187656201
ＪＲ武蔵野線 新秋津駅 3階建 築9年,東京都東村山市秋津町４,ＪＲ武蔵野線/新秋津駅 歩11分,西武池袋線/所沢駅 歩20分,西武池袋線/秋津駅 歩15分,9.0,3.0,3.0,5800.0,2000.0,5800.0,5800.0,1.0,25.92,https://suumo.jp/chintai/jnc_000055608266/?bc=100186195395
